0.0287991 2.446424056192756e-08 1.084060863430717e-05 0.4466069028411052 18
0.0575982 1.628019481333573e-07 0.0001073784434921023 0.4348917820091194 62
0.0863973 5.499245204027524e-07 0.0002863383628824461 0.3949845998465534 98
0.115196 1.351102355842561e-06 0.0009928211248117968 0.4740971323376392 210
0.143995 2.830233518891822e-06 0.002142760694741583 0.5158075647095834 350
0.172795 4.332273679375247e-06 0.003416305068328419 0.4659875139430304 450
0.201594 7.336357862130872e-06 0.005048606303842067 0.4671520799871717 602
0.230393 1.058392360578119e-05 0.007752625349067643 0.4646225198871338 762
0.259192 1.467920256538481e-05 0.01258396692764367 0.4874134947829224 1142
0.287991 2.028076047218626e-05 0.01657302696159494 0.4801145642415586 1250
0.31679 2.611558101785998e-05 0.02234412079309791 0.4749491653321464 1458
0.345589 3.712361887140994e-05 0.02832985594513817 0.4940787337462456 1814
0.374388 4.502839315237413e-05 0.03660767612742243 0.4854988805650036 2178
0.403187 5.883037226065524e-05 0.04571164114445517 0.4986562113327089 2498
0.431986 7.269443309779974e-05 0.05907217083387481 0.5117032986274852 2622
0.460786 8.571150730758238e-05 0.06794733176967896 0.4928606974900894 3191
0.489585 0.0001013743203169102 0.07893549750845789 0.4836195158880524 3044
0.518384 0.0001235889961061407 0.09101872988264435 0.4872590771984048 2736
0.547183 0.0001418551937250869 0.1110107290274673 0.4886289099022337 2276
0.575982 0.0001704356915382841 0.1260085650941526 0.4941864234764445 2016
0.604781 0.0001857777201458881 0.1414550732884912 0.4724349639582434 1640
0.63358 0.0002294386080270846 0.1610244352856945 0.4949903083010403 1056
0.662379 0.0002333386294727929 0.1905474979406154 0.4675455655502467 683
0.691178 0.0002804535315183539 0.2009317998027042 0.4744191838067026 350
0.719978 0.0003538927944448005 0.2393771134428782 0.522967435782001 192
0.748777 0.0004477694444976487 0.2291636714180543 0.5470028822448773 44
0.777576 0.0002635249870904182 0.2031119197481299 0.3259107441183084 25
