0.0456435 6.145140386456968e-08 6.839962742845776e-05 0.4465759464424418 18
0.091287 4.08940070686242e-07 0.0006775122851926685 0.4348194679498966 62
0.13693 1.381348164589085e-06 0.001806673222909308 0.3946931861309136 98
0.182574 3.393816224174903e-06 0.006264278817830675 0.4739213091106765 210
0.228217 7.109226324029129e-06 0.01351990816502909 0.5155515747264701 350
0.273861 1.088218123300075e-05 0.02155543122519502 0.4657466924004177 450
0.319504 1.842810075131672e-05 0.03185455742068003 0.4662514199482285 602
0.365148 2.658561839767822e-05 0.0489157669424819 0.4637325253091806 762
0.410791 3.687249571340507e-05 0.07939947640048717 0.4871938369870804 1142
0.456435 5.09429752906259e-05 0.1045687477318877 0.4793391343730277 1250
0.502078 6.559938422014678e-05 0.1409818940089398 0.4743281835055188 1458
0.547722 9.325032961431864e-05 0.1787493356813786 0.4918320154288951 1814
0.593365 0.0001131062280862389 0.2309788585334412 0.4835257822868534 2178
0.639009 0.0001477752377435548 0.2884210037397805 0.495372897288485 2498
0.684652 0.000182600189678355 0.3727202607138705 0.5083661533813665 2622
0.730296 0.0002152976070519863 0.4287187495321339 0.4884514346777952 3191
0.775939 0.0002546408208922267 0.4980493995009925 0.4780402966797569 3044
0.821583 0.0003104415726119914 0.5742894539509904 0.4793851267981775 2736
0.867226 0.0003563241939864078 0.7004304612711205 0.4809465867494902 2276
0.91287 0.0004281151702592175 0.7950604247572288 0.4837524175792941 2016
0.958513 0.0004666526099821164 0.8925213184439573 0.461825354895681 1640
1.00416 0.0002197711542720333 0.4351330569077997 0.1922433428610076 1056
1.0498 4.451936441090486e-35 8.649629911557407e-32 3.50897815275477e-32 683
1.09544 5.187739108117779e-35 8.812507245534572e-32 3.367231630778088e-32 350
1.14109 5.278582015828329e-35 8.499330512322425e-32 3.438209852845737e-32 192
1.18673 4.58732383324869e-35 9.823195806436463e-32 2.596742822967491e-32 44
1.23237 3.577742120733105e-35 7.963186024474851e-32 1.690120170383895e-32 25
